province,candidate,votes,winner,district_name,constituency,party
Gandaki,Sudhan Gurung,29896,True,Gorkha,1,RSP
Gandaki,Kabindra Burlakoti,26660,True,Gorkha,2,RSP
Gandaki,Dharma Raj K.C.,33898,True,Lamjung,1,RSP
Gandaki,Swarnim Wagle,38040,True,Tanahun,1,RSP
Gandaki,Shreeram Neupane,32687,True,Tanahun,2,RSP
Gandaki,Dhananjaya Regmi,29071,True,Syangja,1,RSP
Gandaki,Jhabi Lal Dumre,25354,True,Syangja,2,RSP
Gandaki,Khadak Raj Paudel,39883,True,Kaski,1,RSP
Gandaki,Uttam Prasad Paudel,31911,True,Kaski,2,RSP
Gandaki,Bina Gurung,37750,True,Kaski,3,RSP
Gandaki,Adhitya Chandra Thakali,759,False,Mustang,1,RSP
Gandaki,Sagar Bhusal,26561,True,Parbat,1,RSP
Gandaki,Yuvraj Roka,1033,False,Myagdi,1,RSP
Gandaki,Sushil Khadka,20927,True,Baglung,1,RSP
Gandaki,Som Sharma,12647,True,Baglung,2,RSP
Gandaki,Rajan Gautam,50945,True,Nawalparasi East,1,RSP
Gandaki,Manish Khanal,41347,True,Nawalparasi East,2,RSP
Lumbini,Sagar Dhakal,29642,True,Gulmi,1,RSP
Lumbini,Govinda Panthi,16967,True,Gulmi,2,RSP
Lumbini,Bimal Pant,14333,False,Palpa,1,RSP
Lumbini,Madhav Bahadur Thapa,26736,True,Palpa,2,RSP
Lumbini,Sunil Lamsal,54845,True,Rupandehi,1,RSP
Lumbini,Sulabh Kharel,56550,True,Rupandehi,2,RSP
Lumbini,Dr. Lekh Jung Thapa,58814,True,Rupandehi,3,RSP
Lumbini,Kanhaiya Baniya,28066,True,Rupandehi,4,RSP
Lumbini,Taufik Ahmad Khan,38806,True,Rupandehi,5,RSP
Lumbini,Hari Prasad Bhusal,35023,True,Arghakhanchi,1,RSP
Lumbini,Mohan Lal Acharya,34148,True,Kapilvastu,1,RSP
Lumbini,Bikram Thapa,27635,True,Kapilvastu,2,RSP
Lumbini,Prakash Rajouriya,18890,False,Kapilvastu,3,RSP
Lumbini,Sushant Vaidik,27469,True,Pyuthan,1,RSP
Lumbini,Balram Thapa,10894,False,Rolpa,1,RSP
Lumbini,Devaraj Pathak,42602,True,Dang,1,RSP
Lumbini,Bipin Kumar Acharya,43559,True,Dang,2,RSP
Lumbini,Kamal Subedi,44248,True,Dang,3,RSP
Lumbini,Thakur Singh Tharu,49631,True,Bardiya,1,RSP
Lumbini,Shreedhar Pokharel,29678,True,Bardiya,2,RSP
Lumbini,Suresh Kumar Chaudhary,32792,True,Banke,1,RSP
Lumbini,Bivek Kumar Shrestha,18682,False,Banke,2,RSP
Lumbini,Khagendra Sunar,29551,True,Banke,3,RSP
Lumbini,Bikram Khanal,45241,True,Nawalparasi West,1,RSP
Lumbini,Narendra Kumar Gupta,44138,True,Nawalparasi West,2,RSP
Lumbini,Lakhan Kumar Thapa,819,False,Rukum East,1,RSP
Karnali,Man Bahadur Shahi,4076,False,Rukum West,1,RSP
Karnali,Lalit Kumar Chanda,20904,False,Salyan,1,RSP
Karnali,Tek Bahadur Singh Thakuri,14729,False,Surkhet,1,RSP
Karnali,Ramesh Kumar Sapkota,30842,True,Surkhet,2,RSP
Karnali,Nanda Kishor Basnet,8151,False,Dailekh,1,RSP
Karnali,Bakhat Bahadur Shahi,6797,False,Dailekh,2,RSP
Karnali,Raghab Karki,2471,False,Jajarkot,1,RSP
Karnali,Dev Singh Aidi,181,False,Dolpa,1,RSP
Karnali,Tashi Lhazom,1064,False,Humla,1,RSP
Karnali,Prakash Neupane,2937,False,Kalikot,1,RSP
Karnali,Bhuwan Tamata,530,False,Mugu,1,RSP
Karnali,Binita Kathayat,421,False,Jumla,1,RSP
Sudurpaschim,Hemraj Thapa,6035,False,Bajura,1,RSP
Sudurpaschim,Shailesh Kumar Singh,9263,False,Bajhang,1,RSP
Sudurpaschim,Om Prakash Rawal,1739,False,Achham,1,RSP
Sudurpaschim,Bhup Dev Shah,4562,False,Achham,2,RSP
Sudurpaschim,Narendra Bahadur Khadka,13270,False,Doti,1,RSP
Sudurpaschim,Komal Gyawali,17826,True,Kailali,1,RSP
Sudurpaschim,K.P. Khanal,19057,True,Kailali,2,RSP
Sudurpaschim,Jagat Prasad Joshi,20359,True,Kailali,3,RSP
Sudurpaschim,Khem Raj Koirala,28556,True,Kailali,4,RSP
Sudurpaschim,Ananda Bahadur Chanda,31953,True,Kailali,5,RSP
Sudurpaschim,Janak Singh Dhami,24332,True,Kanchanpur,1,RSP
Sudurpaschim,Deepak Raj Bohara,33952,True,Kanchanpur,2,RSP
Sudurpaschim,Gyanendra Singh Mehta,27118,True,Kanchanpur,3,RSP
Sudurpaschim,Tara Prasad Joshi,19131,True,Dadeldhura,1,RSP
Sudurpaschim,Hari Mohan Bhandari,22134,True,Baitadi,1,RSP
Sudurpaschim,Rajesh Singh Samant (Saud),8936,False,Darchula,1,RSP
Koshi,Gajendra Prasad Tumyang Limbu,11711,False,Taplejung,1,NC
Koshi,Narendra Kumar Kerung,17233,True,Panchthar,1,NC
Koshi,Nishkal Rai,14543,True,Illam,1,NC
Koshi,Bhesraj Acharya,14650,False,Illam,2,NC
Koshi,Keshav Raj Pandey,10550,False,Jhapa,1,NC
Koshi,Sarita Prasai,5616,False,Jhapa,2,NC
Koshi,Rajendra Kumar Ghimire,8199,False,Jhapa,3,NC
Koshi,Deu Kumar Thewe,9434,False,Jhapa,4,NC
Koshi,Mandhara Chimariya,1821,False,Jhapa,5,NC
Koshi,Khadga Bahadur Phago,11986,False,Morang,1,NC
Koshi,Minendra Prasad Rijal,12764,False,Morang,2,NC
Koshi,Shunil Kumar Sharma,24354,False,Morang,3,NC
Koshi,Guru Raj Ghimire,12818,False,Morang,4,NC
Koshi,Phul Kumar Lalwani,9415,False,Morang,5,NC
Koshi,Dr. Shekhar Koirala,12850,False,Morang,6,NC
Koshi,Sujendra Tamang,3970,False,Sunsari,1,NC
Koshi,Rajib Koirala,16071,False,Sunsari,2,NC
Koshi,Bijay Kumar Gachhedar,20501,False,Sunsari,3,NC
Koshi,Gyanendra Bahadur Karki,16587,False,Sunsari,4,NC
Koshi,Dinesh Rai,14257,False,Dhankuta,1,NC
Koshi,Dipen Kumar Shrestha,13271,False,Sankhuwasabha,1,NC
Koshi,Balkrishna Thapa,8670,False,Bhojpur,1,NC
Koshi,Santosh Subba,11561,True,Terhathum,1,NC
Koshi,Kumar Luitel,13948,False,Okhaldhunga,1,NC
Koshi,Bir Kaji Rai,11957,False,Khotang,1,NC
Koshi,Prakash Singh Karki,13166,True,Solukhumbu,1,NC
Koshi,Bidur Basnet,9675,False,Udayapur,1,NC
Koshi,Ram Kumar Rai,7290,False,Udayapur,2,NC
Madhesh,Ramdev Sah (Teli),6994,False,Saptari,1,NC
Madhesh,Ram Kumar Yadav,2498,False,Saptari,2,NC
Madhesh,Dinesh Kumar Yadav,8428,False,Saptari,3,NC
Madhesh,Teju Lal Chaudhary,13103,False,Saptari,4,NC
Madhesh,Ram Sundar Chaudhary,9784,False,Siraha,1,NC
Madhesh,Ram Chandra Yadav,12814,False,Siraha,2,NC
Madhesh,Subhash Chandra Yadav,9879,False,Siraha,3,NC
Madhesh,Chandra Kala Kumari Yadav,4038,False,Siraha,4,NC
Madhesh,Ram Paltan Sah,9485,False,Dhanusha,1,NC
Madhesh,Dinesh Prasad Yadav Parsaila,10198,False,Dhanusha,2,NC
Madhesh,Bimalendra Nidhi,16652,False,Dhanusha,3,NC
Madhesh,Mahendra Yadav,15809,False,Dhanusha,4,NC
Madhesh,Mukesh Raj Kafle,6213,False,Mahottari,1,NC
Madhesh,Kiran Yadav,9745,False,Mahottari,2,NC
Madhesh,Bajrang Nepali,4342,False,Mahottari,3,NC
Madhesh,Mahendra Kumar Raya,6944,False,Mahottari,4,NC
Madhesh,Shambhu Lal Shrestha,7871,False,Sarlahi,1,NC
Madhesh,Dr. Saroj Kumar,7039,False,Sarlahi,2,NC
Madhesh,Binod Kumar Khanal,6624,False,Sarlahi,3,NC
Madhesh,Gagan Kumar Thapa,22831,False,Sarlahi,4,NC
Madhesh,Anil Kumar Jha,8574,False,Rautahat,1,NC
Madhesh,Md. Firdosh Alam,29528,True,Rautahat,2,NC
Madhesh,Ramkrishna Prasad Yadav,6420,False,Rautahat,3,NC
Madhesh,Dev Prasad Timalsena,15865,False,Rautahat,4,NC
Madhesh,Shambhubahadur Budhathoki,14223,False,Bara,1,NC
Madhesh,Bhaiyaraprasad Yadav,11837,False,Bara,2,NC
Madhesh,Pharamullaha Mansur,10052,False,Bara,3,NC
Madhesh,Shyambabu Gupta,7113,False,Bara,4,NC
Madhesh,Anil Kumar Rungata,11885,False,Parsa,1,NC
Madhesh,Ajay Kumar Chaurasiya,11890,False,Parsa,2,NC
Madhesh,Surendra Prasad Chaudhary,16366,False,Parsa,3,NC
Madhesh,Ramesh Rijal,12534,False,Parsa,4,NC
Bagmati,Ujjwal Prasad Baral,15570,False,Sindhuli,1,NC
Bagmati,Shushila Theeng,6760,False,Sindhuli,2,NC
Bagmati,Ram Chandra Khadka,16307,False,Ramechhap,1,NC
Bagmati,Ajay Baby Shivakoti,12298,False,Dolakha,1,NC
Bagmati,Janga Bahadur Lama,11293,False,Sindhupalchok,1,NC
Bagmati,Bansalal Tamang,19146,False,Sindhupalchok,2,NC
Bagmati,Gunraj Tamang,19166,False,Kavrepalanchok,1,NC
Bagmati,Madhu Prasad Acharya,17868,False,Kavrepalanchok,2,NC
Bagmati,Uday Shumsher J.B. Rana,13520,False,Lalitpur,1,NC
Bagmati,Prem Krishna Maharjan,7420,False,Lalitpur,2,NC
Bagmati,Jitendra Kumar Shrestha,9045,False,Lalitpur,3,NC
Bagmati,Kiran Neupane,4282,False,Bhaktapur,1,NC
Bagmati,Kavir Rana,8401,False,Bhaktapur,2,NC
Bagmati,Prabal Thapa Chhetri,6364,False,Kathmandu,1,NC
Bagmati,Kabir Sharma,8874,False,Kathmandu,2,NC
Bagmati,Ramesh Aryal,6000,False,Kathmandu,3,NC
Bagmati,Sachin Timilsena,8824,False,Kathmandu,4,NC
Bagmati,Pradeep Paudel,9159,False,Kathmandu,5,NC
Bagmati,Krishna Baniya Chhetri,6647,False,Kathmandu,6,NC
Bagmati,Pramod Hari Guragain,3982,False,Kathmandu,7,NC
Bagmati,Sapana Rajbhandari,2835,False,Kathmandu,8,NC
Bagmati,Nanu Maiya Bastola,5460,False,Kathmandu,9,NC
Bagmati,Himal Karki,8100,False,Kathmandu,10,NC
Bagmati,Prakash Sharan Mahat,18597,False,Nuwakot,1,NC
Bagmati,Jagadiswor Narsingh KC,15503,False,Nuwakot,2,NC
Bagmati,Mohan Acharya,10656,True,Rasuwa,1,NC
Bagmati,Krishna Rijal,10080,False,Dhading,1,NC
Bagmati,Ramesh Prasad Dhamala,20279,False,Dhading,2,NC
Bagmati,Mahalaxmi Upadhyay (Dina),14038,False,Makwanpur,1,NC
Bagmati,Buddha Lama,15056,False,Makwanpur,2,NC
Bagmati,Rajendra Prasad Burlakoti,13033,False,Chitwan,1,NC
Bagmati,Meena Kumari Kharel,14564,False,Chitwan,2,NC
Bagmati,Tek Prasad Gurung,8344,False,Chitwan,3,NC
Gandaki,Prem Kumar Khatri,15398,False,Gorkha,1,NC
Gandaki,Prakash Chandra Dawadi,11700,False,Gorkha,2,NC
Gandaki,Gam Prasad Gurung,16569,False,Lamjung,1,NC
Gandaki,Govind Bhattarai,16231,False,Tanahun,1,NC
Gandaki,Shankar Bhandari,14135,False,Tanahun,2,NC
Gandaki,Bharat Raj Dhakal,18857,False,Syangja,1,NC
Gandaki,Bhagwat Prakash Malla,20830,False,Syangja,2,NC
Gandaki,Tilak Bahadur Ranabhat,11214,False,Kaski,1,NC
Gandaki,Madhav Prasad Bastola,6500,False,Kaski,2,NC
Gandaki,Manoj Gurung,12780,False,Kaski,3,NC
Gandaki,Tek Bahadur Gurung,2415,True,Manang,1,NC
Gandaki,Yogesh Gauchan Thakali,3307,True,Mustang,1,NC
Gandaki,Arjun Prasad Joshi,15954,False,Parbat,1,NC
Gandaki,Karna Bahadur Bhandari,6683,False,Myagdi,1,NC
Gandaki,Bhim Bahadur Shrees Rana,11944,False,Baglung,1,NC
Gandaki,Tek Raj Paudel,11868,False,Baglung,2,NC
