province,candidate,votes,winner,district_name,constituency,party,election_year
Bagmati,Basant Bhatta,5571,False,Rasuwa,1,RSP,2082
Bagmati,Aashika Tamang,39128,True,Dhading,1,RSP,2082
Bagmati,Bodh Narayan Shrestha,26145,True,Dhading,2,RSP,2082
Bagmati,Prakash Gautam,36033,True,Makwanpur,1,RSP,2082
Bagmati,Prashant Upreti,30050,True,Makwanpur,2,RSP,2082
Bagmati,Hari Dhakal,58208,True,Chitwan,1,RSP,2082
Bagmati,Rabi Lamichhane,54402,True,Chitwan,2,RSP,2082
Bagmati,Sobita Gautam,59277,True,Chitwan,3,RSP,2082
Gandaki,Sudhan Gurung,29896,True,Gorkha,1,RSP,2082
Gandaki,Kabindra Burlakoti,26660,True,Gorkha,2,RSP,2082
Gandaki,Dharma Raj K.C.,33898,True,Lamjung,1,RSP,2082
Gandaki,Swarnim Wagle,38040,True,Tanahun,1,RSP,2082
Gandaki,Shreeram Neupane,32687,True,Tanahun,2,RSP,2082
Gandaki,Dhananjaya Regmi,29071,True,Syangja,1,RSP,2082
Gandaki,Jhabi Lal Dumre,25354,True,Syangja,2,RSP,2082
Gandaki,Khadak Raj Paudel,39883,True,Kaski,1,RSP,2082
Gandaki,Uttam Prasad Paudel,31911,True,Kaski,2,RSP,2082
Gandaki,Bina Gurung,37750,True,Kaski,3,RSP,2082
Gandaki,Adhitya Chandra Thakali,759,False,Mustang,1,RSP,2082
Gandaki,Sagar Bhusal,26561,True,Parbat,1,RSP,2082
Gandaki,Yuvraj Roka,1033,False,Myagdi,1,RSP,2082
Gandaki,Sushil Khadka,20927,True,Baglung,1,RSP,2082
Gandaki,Som Sharma,12647,True,Baglung,2,RSP,2082
Gandaki,Rajan Gautam,50945,True,Nawalparasi East,1,RSP,2082
Gandaki,Manish Khanal,41347,True,Nawalparasi East,2,RSP,2082
Lumbini,Sagar Dhakal,29642,True,Gulmi,1,RSP,2082
Lumbini,Govinda Panthi,16967,True,Gulmi,2,RSP,2082
Lumbini,Bimal Pant,14333,False,Palpa,1,RSP,2082
Lumbini,Madhav Bahadur Thapa,26736,True,Palpa,2,RSP,2082
Lumbini,Sunil Lamsal,54845,True,Rupandehi,1,RSP,2082
Lumbini,Sulabh Kharel,56550,True,Rupandehi,2,RSP,2082
Lumbini,Dr. Lekh Jung Thapa,58814,True,Rupandehi,3,RSP,2082
Lumbini,Kanhaiya Baniya,28066,True,Rupandehi,4,RSP,2082
Lumbini,Taufik Ahmad Khan,38806,True,Rupandehi,5,RSP,2082
Lumbini,Hari Prasad Bhusal,35023,True,Arghakhanchi,1,RSP,2082
Lumbini,Mohan Lal Acharya,34148,True,Kapilvastu,1,RSP,2082
Lumbini,Bikram Thapa,27635,True,Kapilvastu,2,RSP,2082
Lumbini,Prakash Rajouriya,18890,False,Kapilvastu,3,RSP,2082
Lumbini,Sushant Vaidik,27469,True,Pyuthan,1,RSP,2082
Lumbini,Balram Thapa,10894,False,Rolpa,1,RSP,2082
Lumbini,Devaraj Pathak,42602,True,Dang,1,RSP,2082
Lumbini,Bipin Kumar Acharya,43559,True,Dang,2,RSP,2082
Lumbini,Kamal Subedi,44248,True,Dang,3,RSP,2082
Lumbini,Thakur Singh Tharu,49631,True,Bardiya,1,RSP,2082
Lumbini,Shreedhar Pokharel,29678,True,Bardiya,2,RSP,2082
Lumbini,Suresh Kumar Chaudhary,32792,True,Banke,1,RSP,2082
Lumbini,Bivek Kumar Shrestha,18682,False,Banke,2,RSP,2082
Lumbini,Khagendra Sunar,29551,True,Banke,3,RSP,2082
Lumbini,Bikram Khanal,45241,True,Nawalparasi West,1,RSP,2082
Lumbini,Narendra Kumar Gupta,44138,True,Nawalparasi West,2,RSP,2082
Lumbini,Lakhan Kumar Thapa,819,False,Rukum East,1,RSP,2082
Karnali,Man Bahadur Shahi,4076,False,Rukum West,1,RSP,2082
Karnali,Lalit Kumar Chanda,20904,False,Salyan,1,RSP,2082
Karnali,Tek Bahadur Singh Thakuri,14729,False,Surkhet,1,RSP,2082
Karnali,Ramesh Kumar Sapkota,30842,True,Surkhet,2,RSP,2082
Karnali,Nanda Kishor Basnet,8151,False,Dailekh,1,RSP,2082
Karnali,Bakhat Bahadur Shahi,6797,False,Dailekh,2,RSP,2082
Karnali,Raghab Karki,2471,False,Jajarkot,1,RSP,2082
Karnali,Dev Singh Aidi,181,False,Dolpa,1,RSP,2082
Karnali,Tashi Lhazom,1064,False,Humla,1,RSP,2082
Karnali,Prakash Neupane,2937,False,Kalikot,1,RSP,2082
Karnali,Bhuwan Tamata,530,False,Mugu,1,RSP,2082
Karnali,Binita Kathayat,421,False,Jumla,1,RSP,2082
Sudurpaschim,Hemraj Thapa,6035,False,Bajura,1,RSP,2082
Sudurpaschim,Shailesh Kumar Singh,9263,False,Bajhang,1,RSP,2082
Sudurpaschim,Om Prakash Rawal,1739,False,Achham,1,RSP,2082
Sudurpaschim,Bhup Dev Shah,4562,False,Achham,2,RSP,2082
Sudurpaschim,Narendra Bahadur Khadka,13270,False,Doti,1,RSP,2082
Sudurpaschim,Komal Gyawali,17826,True,Kailali,1,RSP,2082
Sudurpaschim,K.P. Khanal,19057,True,Kailali,2,RSP,2082
Sudurpaschim,Jagat Prasad Joshi,20359,True,Kailali,3,RSP,2082
Sudurpaschim,Khem Raj Koirala,28556,True,Kailali,4,RSP,2082
Sudurpaschim,Ananda Bahadur Chanda,31953,True,Kailali,5,RSP,2082
Sudurpaschim,Janak Singh Dhami,24332,True,Kanchanpur,1,RSP,2082
Sudurpaschim,Deepak Raj Bohara,33952,True,Kanchanpur,2,RSP,2082
Sudurpaschim,Gyanendra Singh Mehta,27118,True,Kanchanpur,3,RSP,2082
Sudurpaschim,Tara Prasad Joshi,19131,True,Dadeldhura,1,RSP,2082
Sudurpaschim,Hari Mohan Bhandari,22134,True,Baitadi,1,RSP,2082
Sudurpaschim,Rajesh Singh Samant (Saud),8936,False,Darchula,1,RSP,2082
Koshi,Gajendra Prasad Tumyang Limbu,11711,False,Taplejung,1,NC,2082
